物料编码,物料名称,厂家产品码,计量单位,结算价,数量
1701020176,多楔带,4PK845,条,15.2,
1701020178,多楔带,4PK855,条,14.9,
1701040093,正时套包,K0276105,套,106.5,
1701030616,三角带,V13X665,条,13.9,
1701020243,多楔带,5PK1300,条,22.6,
1701020167,多楔带,4PK815,条,14.7,
1701020476,多楔带,6PK1875,条,36.9,
1701020166,多楔带,4PK810,条,14.6,
1701020506,多楔带,6PK2135,条,45.9,
1701040132,正时套包,K0276127,套,181,
1701020453,多楔带,6PK1700,条,44.2,
1701020613,多楔带,7PK1135,条,37.8,
1701020471,多楔带,6PK1835,条,46.2,
1701020177,多楔带,4PK850,条,15.5,
1701020348,多楔带,5PK865,条,19.8,
1701010334,正时带,90138X23,条,50,
1701020156,多楔带,4PK760,条,14,
1701020186,多楔带,4PK890,条,17.2,
1701020028,多楔带,3PK675,条,9.4,
1701020071,多楔带,4PK1000,条,18.2,
1701020887,多楔带,6PK1557,条,43.5,
1701030467,三角带,V10X950,条,11.6,
1701020614,多楔带,7PK1140,条,36.7,
1701040001,正时套包,K01163S7M,套,130.6,
1701010219,正时带,76105X22,条,55,
1701020644,多楔带,7PK1780,条,59.4,
1701020204,多楔带,4PK990,条,17.9,
1701020254,多楔带,5PK1395,条,32.7,
1701020325,多楔带,5PK705SF,条,20.5,
1701020184,多楔带,4PK880,条,15.1,
1701030434,三角带,V10X765,条,10.5,
1701020171,多楔带,4PK830,条,14.8,
1701020364,多楔带,5PK960,条,21.2,
1702000004,张紧轮,GTA1009,个,78,
1701020172,多楔带,4PK835,条,15.1,
1701040012,正时套包,K0141121,套,49,
1701021540,多楔带,6PK2552,条,61,
1701030641,三角带,V13X830,条,15.5,
1702000489,张紧轮,GTA1156,个,105,
1701030615,三角带,V13X660,条,13.9,
1701010099,正时带,41121X18,条,20.5,
1701030679,三角带,V15X1030,条,25.4,
1701020409,多楔带,6PK1230,条,30.9,
1703000006,水泵,GWP5003,个,85,
1701040081,正时套包,K0240802,套,360,
1701020516,多楔带,6PK2230,条,46.3,
1701020481,多楔带,6PK1895,条,43.9,
1701020441,多楔带,6PK1560,条,44,
1701020192,多楔带,4PK920,条,17.8,
1701020233,多楔带,5PK1205,条,29.1,
1701020202,多楔带,4PK980,条,19,
1701020191,多楔带,4PK910,条,18,
1701020189,多楔带,4PK900,条,17.4,
1701020490,多楔带,6PK1980,条,54.8,
1701020196,多楔带,4PK940,条,18.2,
1701020457,多楔带,6PK1730,条,51.1,
1702000094,张紧轮,GTA1043,个,98,
1701020074,多楔带,4PK1020,条,19.3,
1701021004,多楔带,4pk985,条,19.1,
1701021005,多楔带,6PK1885,条,51.7,
1702000494,张紧轮,GTS1025,个,120,
1701020197,多楔带,4PK945,条,17.5,
1701020369,多楔带,6DPK1200,条,47.7,
1701020888,多楔带,6PK2260,条,66.8,
1701020159,多楔带,4PK775,条,15,
1701020417,多楔带,6PK1310,条,39,
1701020198,多楔带,4PK950,条,18.4,
1701020649,多楔带,7PK1930,条,67.9,
1701020219,多楔带,5PK1095,条,25.3,
1701030645,三角带,V13X850,条,13.9,
1701020611,多楔带,7PK1125,条,39,
1701020413,多楔带,6PK1270,条,27.5,
1701020208,多楔带,5PK1020,条,25,
1701040054,正时套包,K0176134,套,223.5,
1701040060,正时套包,K0177109,套,85.5,
1701040076,正时套包,K0190138A,套,103,
1701020477,多楔带,6PK1880,条,37,
1701020518,多楔带,6PK2255,条,56,
1701020180,多楔带,4PK865,条,16.8,
1701020101,多楔带,4PK1210,条,23.5,
1701020377,多楔带,6PK1030,条,30.6,
1701020245,多楔带,5PK1320,条,31,
1701020228,多楔带,5PK1145,条,28,
1701020194,多楔带,4PK930,条,18,
1701020626,多楔带,7PK1550,条,54.5,
1701020512,多楔带,6PK2200,条,54,
1701020406,多楔带,6PK1210,条,36,
1701020154,多楔带,4PK740,条,14.3,
1701021532,多楔带,4PK840,条,16.6,
1701021535,多楔带,5PK1055,条,24.8,
1701021536,多楔带,5PK1135,条,26.7,
1701021537,多楔带,6PK1212,条,34.5,
1701021539,多楔带,6PK1284,条,36.6,
1702000484,惰轮,GTA5079,个,70,
1701020185,多楔带,4PK885,条,17,
1701040075,正时套包,K0190138,套,122,
1701020496,多楔带,6PK2025,条,63,
1701020032,多楔带,3PK740,条,11,
1701030680,三角带,V15X1040,条,27.7,
1701020385,多楔带,6PK1070,条,32,
